"Cause Name","total_attention_score","measure_id","measure_name","location_id","location_name","sex_id","sex_name","age_id","age_name","cause_id","metric_id","metric_name","year","DALY","upper","lower"
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",478,"World Bank Regions",3,"Both",22,"All ages",400,1,"Number",2023,5555818.877,7406166.184,3884903.544
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",252,"Micronesia",3,"Both",22,"All ages",400,1,"Number",2023,290.3247487,413.1115499,189.5055063
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",251,"Melanesia",3,"Both",22,"All ages",400,1,"Number",2023,18700.58562,29010.80445,9565.308662
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",479,"WHO region",3,"Both",22,"All ages",400,1,"Number",2023,5553486.576,7403149.032,3883082.443
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",44634,"High-middle SDI",3,"Both",22,"All ages",400,1,"Number",2023,611336.6319,800973.7679,430024.8797
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",257,"Polynesia",3,"Both",22,"All ages",400,1,"Number",2023,202.8364059,297.2944859,133.5397559
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",44534,"Commonwealth",3,"Both",22,"All ages",400,1,"Number",2023,3540100.543,4890196.1,2422334.763
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",44636,"Low-middle SDI",3,"Both",22,"All ages",400,1,"Number",2023,1248426.516,1769672.342,855345.3098
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",44639,"Middle SDI",3,"Both",22,"All ages",400,1,"Number",2023,508093.0841,664781.4744,365813.1212
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",94217,"Gulf Cooperation Council",3,"Both",22,"All ages",400,1,"Number",2023,7484.970961,9887.71946,5495.713184
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",44642,"Nordic Region",3,"Both",22,"All ages",400,1,"Number",2023,824.4751083,1150.064398,561.4487844
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",4745,"League of Arab States",3,"Both",22,"All ages",400,1,"Number",2023,346403.1767,498011.8087,202998.2908
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",44591,"World Bank Income Levels",3,"Both",22,"All ages",400,1,"Number",2023,5555818.877,7406166.184,3884903.544
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",4743,"European Union",3,"Both",22,"All ages",400,1,"Number",2023,20450.63018,28075.22826,14533.33798
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",44635,"High SDI",3,"Both",22,"All ages",400,1,"Number",2023,221884.7032,274417.9053,173006.3264
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",44637,"Low SDI",3,"Both",22,"All ages",400,1,"Number",2023,2966079.113,4079744.241,1973434.147
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",44584,"OECD Countries",3,"Both",22,"All ages",400,1,"Number",2023,79313.3343,102432.0584,59498.31079
