"GBD.term","total_attention_score","weighted_nhits","weighted_attention_score_impact_factor","weighted_n","nhit"
"Other neoplasms",173,83.5050101156621,194.328187556374,9.18070030922359,90
"Other neurological disorders",38,77.5046511627907,106.422104094708,9.30092699232443,93
"Other non-Hodgkin lymphoma",7,0,0.356787913088662,0.0113909288569419,0
"Other non-rheumatic valve diseases",0,0,0,0,0
"Other nutritional deficiencies",22,0.010507880910683,2.15455726923124,0.0956627318569951,6
"Other oral disorders",50,206.25,91.0879201861388,21.4714531171115,308
"Other pharynx cancer",10,6.06666666666667,43.7179862717958,1.54600226516044,19
"Other pneumoconiosis",1,1.5,1.75,0.5,3
"Other sense organ diseases",1,0,0.0460355987055016,0.000809061488673139,0
"Other sexually transmitted infections",0,0,0,0,0
"Other skin and subcutaneous diseases",60,241.642857142857,111.117878002657,11.8797232873802,348
"Other unspecified infectious diseases",29,39.3181818181818,31.8613616106393,3.95997607101676,91
"Other urinary diseases",192,245.867263853735,846.288989015252,43.5076035274815,407
"Other vision loss",2,1.775,0.786886189258312,0.0262787723785166,71
"Otitis media",36,32.0906710690364,33.612978184637,6.11190004332767,40
"Ovarian cancer",20,6.13055530446835,15.5341023951308,1.27620958038474,79
"Pancreatic cancer",52,196.56177472766,335.694184464584,24.8932224353032,330
"Pancreatitis",16,5.2640826873385,32.7063149489975,1.14403180314251,16
"Paralytic ileus and intestinal obstruction",26,0.00757057183819531,1.06050447644035,0.0226886015241572,8
"Paratyphoid fever",3,1.0046511627907,31.086511627907,1.0093023255814,2
"Parkinson's disease",112,637.493201571337,926.0427032393,56.9558829181571,775
"Peptic ulcer disease",34,37.4375173370319,62.4820501269008,3.60544997220317,183
"Periodontal diseases",10,0.00117508813160987,0.511156130527717,0.00983141648716872,1
"Pertussis",11,0,1.39199330450551,0.0355000697447343,0
"Pneumoconiosis",18,6,8.13743968009147,2.02894971863563,12
"Polycystic ovarian syndrome",35,112.479537661231,202.411887665521,17.4132302804066,147
"Premenstrual syndrome",0,0,0,0,0
"Prostate cancer",28,815.197228688973,101.176783530368,12.0819967176894,1139
"Protein-energy malnutrition",7,0.00117508813160987,0.344225009434156,0.00715668335670453,1
"Pruritus",31,0.438950613713755,4.30139861818019,0.599443939330214,10
"Psoriasis",95,1345.16636791431,432.292286362681,30.7627363424358,1845
"Pulmonary Arterial Hypertension",4,14,112.568,4,14
"Pyoderma",2,0.00117508813160987,0.0620167972953959,0.00198414962028301,1
"Rabies",0,0,0,0,0
"Refraction disorders",134,709.866666666667,190.462906439669,25.7210593452176,1362
"Retinoblastoma",28,1.00454725683527,123.389412506224,4.00644061099456,14
"Rheumatic heart disease",15,23.0204395364679,93.8172308358104,5.01146837181561,35
"Rheumatoid arthritis",179,1845.86494383307,1137.34880446753,53.0079806816329,3355
"Scabies",1,0,0.113485113835377,0.00175131348511384,0
"Schistosomiasis",0,0,0,0,0
"Schizophrenia",270,4111.04842528727,1449.50794561645,96.5169497568184,5745
"Seborrhoeic dermatitis",14,12.0367737936332,7.17808725162128,1.01250614961763,57
"Sexually transmitted infections excluding HIV",2,0,0.226970227670753,0.00350262697022767,0
"Sickle cell disorders",7,140.5,41.55,6.5,148
"Sickle cell trait",7,18,28.05,5.5,19
"Silicosis",0,0,0,0,0
"Soft tissue and other extraosseous sarcomas",5,10,51.1787723785166,3.00255754475703,10
"Stomach cancer",4,1.1,1.95156010230179,0.144757033248082,22
"Stroke",258,479.228242675255,1100.11611242817,59.3221600585718,1092
"Subarachnoid hemorrhage",23,0.0205521782200196,4.3559106045375,0.406477596831717,15
"Sudden infant death syndrome",0,0,0,0,0
"Syphilis",0,0,0,0,0
"Tension-type headache",7,0.00360227259762929,0.270126084857091,0.00668414225010732,4
"Testicular cancer",14,19.8,66.4111772340344,6.0550101156621,46
"Tetanus",2,0.4,3.52,0.4,2
"Thalassemias",3,0.0140105078809107,0.34045534150613,0.00525394045534151,8
"Thalassemias trait",0,0,0,0,0
"Thyroid cancer",14,0.900132810715536,2.45444152066506,0.301839857181942,31
"Thyroid diseases",5,22,16.3,2,55
"Tracheal, bronchus, and lung cancer",37,75.7277493725362,63.232221716953,5.93981654751645,275
"Trachoma",16,11.2692307692308,46.1753640138631,3.28230790690687,24
"Trichomoniasis",0,0,0,0,0
"Trichuriasis",0,0,0,0,0
"Tuberculosis",129,188.367209276563,316.334016132725,33.4901248753958,311
"Turner syndrome",0,0,0,0,0
"Typhoid and paratyphoid",9,3.01395348837209,93.2595348837209,3.02790697674419,6
"Typhoid fever",3,1.0046511627907,31.086511627907,1.0093023255814,2
"Ulcerative colitis",135,688.163471414348,622.26171839079,31.359054329742,2379
"Upper digestive system diseases",191,152.097238267735,135.322293545189,9.5690522338406,726
"Upper respiratory infections",25,0.0256934769232036,1.95599858415915,0.0373423496600551,15
"Urinary diseases and male infertility",311,303.614801848296,1098.00351545676,52.6918226100401,726
"Urinary tract infections and interstitial nephritis",7,4,7.15308151093439,2.00497017892644,4
"Urogenital congenital anomalies",2,0,0.0787723785166241,0.00255754475703325,0
"Urolithiasis",50,17.6112407864369,23.6003537182685,1.26224394706605,140
"Urticaria",25,28.0652588383345,43.0876645868512,4.45586606051352,52
"Uterine cancer",4,0.215460802417324,0.599775956625132,0.0744067568341427,4
"Uterine fibroids",33,824.408347009224,162.113891096224,11.5084044122749,1069
"Varicella and herpes zoster",32,25.5237785057326,48.8290749077953,5.13104723672667,50
"Vascular intestinal disorders",0,0,0,0,0
"Viral skin diseases",28,20.2820295983087,11.5366387417975,2.36007894270462,175
"Visceral leishmaniasis",2,1,30.9166666666667,1.05555555555556,1
"Vitamin A deficiency",8,0.0109058713395269,0.259167769515278,0.00822683314296562,10
"Yellow fever",1,0,0.302803738317757,0.00934579439252336,0
"Zika virus",0,0,0,0,0
