GBD.term,n_total_studies,weighted_nhits,weighted_attention_score_impact_factor,weighted_n,nhit,total_attention_score
Liver cancer due to alcohol use,1,3,51.1,1,3,775
Liver cancer due to hepatitis B,48,81,339.9,33,102,12882
Liver cancer due to hepatitis C,1,1,25.7,1,1,1171
Liver cancer due to NASH,1215,9643.081727,7638.603209,742.2832199,13311,25622325
Liver cancer due to other causes,0,0,0,0,0,31208
Low back pain,16,0,0.967164179,0.014925373,0,116352
Lower extremity peripheral arterial disease,481,1495.811,1294.147984,129.0066445,3523,64063155
Lower respiratory infections,26,0.014010508,18.45431361,1.145803214,8,133106
Lymphatic filariasis,5,4.333333333,14,1.666666667,13,1459
Major depressive disorder,3690,25125.44625,17461.36969,859.5860857,39060,531101310
Malaria,176,1694,2199.233038,99.74780922,1738,420057
Male infertility,55,3.210780008,42.02002032,2.704539136,70,55575
Malignant neoplasm of bone and articular cartilage,9,0.003525264,0.277899298,0.008934556,3,2757
Malignant skin melanoma,189,1133.195975,685.4819313,31.61395456,3546,6501726
Maternal abortion and miscarriage,35,0.003525264,2.094300326,0.047318949,3,55309
Maternal deaths aggravated by HIV/AIDS,0,0,0,0,0,0
Maternal disorders,699,558.7256453,2039.325869,147.6699372,1311,329953
Maternal hemorrhage,45,0,3.624749971,0.485657709,0,7432
Maternal hypertensive disorders,506,515.625,1910.207762,127.6862926,1188,63796
Maternal obstructed labor and uterine rupture,1,0,0.175,0.05,0,4730
Maternal sepsis and other maternal infections,0,0,0,0,0,0
Measles,18,0,1.194134407,0.018428,0,122524
Meningitis,9,3.432096693,2.788398937,0.437350633,27,8370
Mesothelioma,1,0,5.3,1,0,820
Migraine,2511,16632.18516,9352.802765,708.3094191,27745,97941493
Motor neuron disease,1,0,0.030616302,9.94036e-4,0,221
Multidrug-resistant tuberculosis without extensive drug resistance,124,141.79716,231.1154841,24.51562546,276,210580
Multiple myeloma,945,3217.526619,5270.16741,268.9010443,4809,2549967
Multiple sclerosis,3960,37722.98763,34825.54591,1547.23194,46350,77914080
"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms",128,532.0149254,1153.279597,56.06054128,560,12386
Myocarditis,20,8.004700353,14.93243651,2.045885798,20,4548
Nasopharynx cancer,1,0,0.03622449,0.005102041,0,113
Near vision loss,0,0,0,0,0,0
Neck pain,168,18.70842983,38.60859722,7.045440702,88,7664920
Neonatal disorders,408,589.7333333,2018.866667,140.3333333,1733,85827
Neonatal encephalopathy due to birth asphyxia and trauma,0,0,0,0,0,0
Neonatal preterm birth,407,583.7333333,2014.466667,139.3333333,1727,85366
Neonatal sepsis and other neonatal infections,1,6,4.4,1,6,345
Neural tube defects,4,0,0.153303802,0.003606195,0,516
Neuroblastoma and other peripheral nervous cell tumors,77,658,2544.5,77,658,8908
Non-Hodgkin lymphoma,382,83.52732754,228.5881959,17.88360756,923,2377480
Non-melanoma skin cancer,741,6750.307534,3753.323335,272.3258327,13960,19693134.065
Non-melanoma skin cancer (basal-cell carcinoma),493,6002.397339,2916.534793,198.5506846,12036,16322158.065
Non-melanoma skin cancer (squamous-cell carcinoma),247,747.9101942,836.7491552,73.77386937,1924,3369548
Non-rheumatic calcific aortic valve disease,0,0,0,0,0,0
Non-rheumatic degenerative mitral valve disease,0,0,0,0,0,0
Non-rheumatic valvular heart disease,42,0,2.582115809,0.077958947,0,11139
Nonalcoholic fatty liver disease including cirrhosis,1215,9643.081727,7638.603209,742.2832199,13311,25622325
Onchocerciasis,0,0,0,0,0,0
Opioid use disorders,19,72.8,272.78,16.6,108,3055224
Oral disorders,1763,7103.554912,3165.465976,744.5755278,10611,27879737
Orofacial clefts,121,869.5,416.0416667,58.58333333,1778,3539771
Osteoarthritis,8741,18959.95514,45728.10082,1520.980527,53753,485947664
Osteoarthritis hand,126,279,1582.575,47.25,468,1367592
Osteoarthritis hip,689,1816.520053,3472.481607,92.60578027,10205,15777671
Osteoarthritis knee,1407,3177.085771,6977.685065,276.676505,15960,34443801
Osteoarthritis other,18,4.5,125.3625,2.475,27,1315473
Other benign and in situ neoplasms,528,48.00511509,72.07711095,4.599721264,52,29860
Other cardiomyopathy,104,235.4168075,502.6146944,22.76657005,679,3020350
Other cardiovascular and circulatory diseases,3090,11081.64772,5138.452631,484.8400244,18360,1450282
Other chromosomal abnormalities,9,7,8.1,3,21,678
Other chronic respiratory diseases,1206,3931.667442,11781.83269,757.5433382,5184,468777
Other congenital birth defects,32,132,53.75621636,12.02280796,132,1180
Other digestive diseases,4055,13543.29068,12206.94203,796.0567392,26699,5560431536
Other direct maternal disorders,20,13.33333333,25.84179104,5.337064677,40,7619
Other drug use disorders,20,2,73.76112685,6.012577776,4,1812
"Other endocrine, metabolic, blood, and immune disorders",842,2033.852668,1901.937751,123.7818063,6808,222685846
Other eye cancers,13,30.75,27.9336519,5.001803097,60,26620
Other gynecological diseases,1836,8139.883372,8388.727854,486.732294,12933,2166945
Other hemoglobinopathies and hemolytic anemias,0,0,0,0,0,0
Other intestinal infectious diseases,32,12.01755576,5.070089439,1.040674327,19,807536
Other leukemia,435,2357.599414,2959.281944,158.7537232,4230,60750
