"age_group_id","cause_id","location_id","measure_id","metric_id","sex_id","year_id","acause","age_group_name","cause_name","expected","location_name","location_type","measure","measure_name","metric_name","sex","val","upper","lower"
22,949,44636,2,1,1,1990,"hiv_tb_mdr","All Ages","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",FALSE,"Low-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",781.741136088788,3252.21087228661,87.1845648885335
22,949,44636,2,1,1,2023,"hiv_tb_mdr","All Ages","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",FALSE,"Low-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",64123.4607399031,150496.589425733,20014.5169028658
22,949,44636,2,1,2,1990,"hiv_tb_mdr","All Ages","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",FALSE,"Low-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",930.792520060146,3735.0788514026,89.4893609303873
22,949,44636,2,1,2,2023,"hiv_tb_mdr","All Ages","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",FALSE,"Low-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",78500.0717147909,165647.33480632,25968.8158580219
22,949,44637,2,1,1,1990,"hiv_tb_mdr","All Ages","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",FALSE,"Low SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",12669.5136621048,48050.3197524568,1891.01990987155
22,949,44637,2,1,1,2023,"hiv_tb_mdr","All Ages","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",FALSE,"Low SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",241947.68472569,575653.158984051,70630.2427662021
22,949,44637,2,1,2,1990,"hiv_tb_mdr","All Ages","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",FALSE,"Low SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",13833.7641592825,50325.604902937,2138.31749128627
22,949,44637,2,1,2,2023,"hiv_tb_mdr","All Ages","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",FALSE,"Low SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",282035.990814874,678118.842427922,85179.066183931
22,949,44638,2,1,1,1990,"hiv_tb_mdr","All Ages","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",FALSE,"North America","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",4343.42927482925,10573.9074894912,1446.19281241913
22,949,44638,2,1,1,2023,"hiv_tb_mdr","All Ages","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",FALSE,"North America","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",200.38031812112,568.746447832352,47.7547711731248
22,949,44638,2,1,2,1990,"hiv_tb_mdr","All Ages","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",FALSE,"North America","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",657.326655825391,1600.27988176998,215.174730823466
22,949,44638,2,1,2,2023,"hiv_tb_mdr","All Ages","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",FALSE,"North America","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",73.7885378681005,228.118463681924,16.8792630716293
22,949,44639,2,1,1,1990,"hiv_tb_mdr","All Ages","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",FALSE,"Middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",788.638440640331,2444.06191925324,179.678931306461
22,949,44639,2,1,1,2023,"hiv_tb_mdr","All Ages","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",FALSE,"Middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",21347.5737955323,56721.0376202085,5668.47286334533
22,949,44639,2,1,2,1990,"hiv_tb_mdr","All Ages","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",FALSE,"Middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",373.979786474746,1210.64980881292,89.2503792515869
22,949,44639,2,1,2,2023,"hiv_tb_mdr","All Ages","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",FALSE,"Middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",17020.7704379637,52011.158048972,4194.70466456891
22,950,44634,2,1,1,1990,"hiv_tb_xdr","All Ages","HIV/AIDS - Extensively drug-resistant Tuberculosis",FALSE,"High-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",0,0,0
22,950,44634,2,1,1,2023,"hiv_tb_xdr","All Ages","HIV/AIDS - Extensively drug-resistant Tuberculosis",FALSE,"High-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",4836.17332282617,10621.675715106,1699.43515473595
22,950,44634,2,1,2,1990,"hiv_tb_xdr","All Ages","HIV/AIDS - Extensively drug-resistant Tuberculosis",FALSE,"High-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",0,0,0
22,950,44634,2,1,2,2023,"hiv_tb_xdr","All Ages","HIV/AIDS - Extensively drug-resistant Tuberculosis",FALSE,"High-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",2855.87421392121,6154.54612875172,1002.1781035346
22,950,44635,2,1,1,1990,"hiv_tb_xdr","All Ages","HIV/AIDS - Extensively drug-resistant Tuberculosis",FALSE,"High SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",0,0,0
22,950,44635,2,1,1,2023,"hiv_tb_xdr","All Ages","HIV/AIDS - Extensively drug-resistant Tuberculosis",FALSE,"High SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",8496.64335173792,15532.9737116569,3471.52179012522
22,950,44635,2,1,2,1990,"hiv_tb_xdr","All Ages","HIV/AIDS - Extensively drug-resistant Tuberculosis",FALSE,"High SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",0,0,0
22,950,44635,2,1,2,2023,"hiv_tb_xdr","All Ages","HIV/AIDS - Extensively drug-resistant Tuberculosis",FALSE,"High SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",4177.81054837701,7602.61527755834,1707.17689256066
22,950,44636,2,1,1,1990,"hiv_tb_xdr","All Ages","HIV/AIDS - Extensively drug-resistant Tuberculosis",FALSE,"Low-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",0,0,0
22,950,44636,2,1,1,2023,"hiv_tb_xdr","All Ages","HIV/AIDS - Extensively drug-resistant Tuberculosis",FALSE,"Low-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",2933.99709706858,6648.64790051126,983.216155701041
22,950,44636,2,1,2,1990,"hiv_tb_xdr","All Ages","HIV/AIDS - Extensively drug-resistant Tuberculosis",FALSE,"Low-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",0,0,0
22,950,44636,2,1,2,2023,"hiv_tb_xdr","All Ages","HIV/AIDS - Extensively drug-resistant Tuberculosis",FALSE,"Low-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",4124.15603580386,8635.23484435514,1359.54133272112
22,950,44637,2,1,1,1990,"hiv_tb_xdr","All Ages","HIV/AIDS - Extensively drug-resistant Tuberculosis",FALSE,"Low SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",0,0,0
22,950,44637,2,1,1,2023,"hiv_tb_xdr","All Ages","HIV/AIDS - Extensively drug-resistant Tuberculosis",FALSE,"Low SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",4192.69954988689,11284.4757539716,1188.52587345012
22,950,44637,2,1,2,1990,"hiv_tb_xdr","All Ages","HIV/AIDS - Extensively drug-resistant Tuberculosis",FALSE,"Low SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",0,0,0
22,950,44637,2,1,2,2023,"hiv_tb_xdr","All Ages","HIV/AIDS - Extensively drug-resistant Tuberculosis",FALSE,"Low SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",4850.83192628151,12852.3795805858,1438.97348505539
22,950,44638,2,1,1,1990,"hiv_tb_xdr","All Ages","HIV/AIDS - Extensively drug-resistant Tuberculosis",FALSE,"North America","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",0,0,0
