"gbd_condition","ontology_id","channels","channel_details"
"Cirrhosis due to other causes","MONDO:0005155","legacy_second_part","source_col=MAPPED_TRAIT_URI...4 raw=MONDO:0005155"
"Coal workers pneumoconiosis","MONDO:0015926","lexical","search='Coal workers pneumoconiosis' label='pneumoconiosis'"
"Cocaine use disorders","EFO:0010445","legacy_second_part|lexical","search='Cocaine use disorders' label='cocaine use disorder' ;; source_col=MAPPED_TRAIT_URI...2 raw=EFO:0010445"
"Colon and rectum cancer","MONDO:0004992","lexical","search='Colon and rectum cancer' label='cancer'"
"Conduct disorder","MONDO:0005352","legacy_first_part|lexical","search='Conduct disorder' label='conduct disorder' ;; source_col=EFO 3 raw=MONDO:0005352"
"Congenital heart anomalies","MONDO:0005453","legacy_second_part","source_col=MAPPED_TRAIT_URI...3 raw=MONDO:0005453"
"Congenital musculoskeletal and limb anomalies","HP:0040064","legacy_second_part","source_col=MAPPED_TRAIT_URI...4 raw=HP:0040064"
"Contact dermatitis","MONDO:0002138","lexical","search='Contact dermatitis' label='allergic contact dermatitis of eyelid'"
"Contact dermatitis","MONDO:0002406","lexical","search='Contact dermatitis' label='dermatitis'"
"Contact dermatitis","MONDO:0004980","legacy_first_part","source_col=EFO 3 raw=MONDO:0004980"
"Contact dermatitis","MONDO:0005480","lexical","search='Contact dermatitis' label='contact dermatitis'"
"Contact dermatitis","MONDO:0005481","lexical","search='Contact dermatitis' label='contact dermatitis due to nickel'"
"Contact dermatitis","MONDO:0006525","lexical","search='Contact dermatitis' label='allergic contact dermatitis'"
"Crohn's disease","MONDO:0000001","lexical","search='Crohn's disease' label='disease'"
"Cutaneous and mucocutaneous leishmaniasis","MONDO:0005446","legacy_first_part|lexical","search='Cutaneous and mucocutaneous leishmaniasis' label='cutaneous leishmaniasis' ;; source_col=EFO 4 raw=MONDO:0005446"
"Decubitus ulcer","EFO:0007067","legacy_first_part|lexical","search='Decubitus ulcer' label='decubitus ulcer' ;; source_col=EFO 1 raw=EFO:0007067"
"Dengue","EFO:0803679","lexical","search='Dengue' label='dengue virus seropositivity'"
"Dengue","MONDO:0005358","lexical","search='Dengue' label='Dengue hemorrhagic fever'"
"Depressive disorders","MONDO:0002050","legacy_second_part|lexical","search='Depressive disorders' label='depressive disorder' ;; source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0002050"
"Dermatitis","EFO:1000651","lexical","search='Dermatitis' label='recalcitrant atopic dermatitis'"
"Dermatitis","HP:0000964","lexical","search='Dermatitis' label='Eczematoid dermatitis'"
"Dermatitis","MONDO:0002138","lexical","search='Dermatitis' label='allergic contact dermatitis of eyelid'"
"Dermatitis","MONDO:0002406","legacy_first_part|lexical","search='Dermatitis' label='dermatitis' ;; source_col=EFO 4 raw=MONDO:0002406"
"Dermatitis","MONDO:0005480","lexical","search='Dermatitis' label='contact dermatitis'"
"Dermatitis","MONDO:0005481","lexical","search='Dermatitis' label='contact dermatitis due to nickel'"
"Dermatitis","MONDO:0006525","lexical","search='Dermatitis' label='allergic contact dermatitis'"
"Dermatitis","MONDO:0006555","lexical","search='Dermatitis' label='granulomatous dermatitis'"
"Dermatitis","MONDO:0006598","lexical","search='Dermatitis' label='phototoxic dermatitis'"
"Dermatitis","MONDO:0006608","lexical","search='Dermatitis' label='seborrheic dermatitis'"
"Dermatitis","MONDO:0015614","lexical","search='Dermatitis' label='dermatitis herpetiformis'"
"Diabetes mellitus","EFO:0006842","lexical","search='Diabetes mellitus' label='diabetes mellitus biomarker'"
