"condition_name","cause_id","gbd_level","parent_name","siblings","n_siblings","is_residual","alias","excluded_alias","scope_note"
"Appendicitis","529",3,"Digestive diseases","Cirrhosis and other chronic liver diseases | Gallbladder and biliary diseases | Inflammatory bowel disease | Inguinal, femoral, and abdominal hernia | Other digestive diseases | Pancreatitis | Paralytic ileus and intestinal obstruction | Upper digestive system diseases | Vascular intestinal disorders",9,FALSE,NA,NA,NA
"Asthma","515",3,"Chronic respiratory diseases","Chronic obstructive pulmonary disease | Interstitial lung disease and pulmonary sarcoidosis | Other chronic respiratory diseases | Pneumoconiosis",4,FALSE,NA,NA,NA
"Atrial fibrillation and flutter","500",3,"Cardiovascular diseases","Aortic aneurysm | Cardiomyopathy and myocarditis | Endocarditis | Hypertensive heart disease | Ischemic heart disease | Lower extremity peripheral arterial disease | Non-rheumatic valvular heart disease | Other cardiovascular and circulatory diseases | Pulmonary Arterial Hypertension | Rheumatic heart disease | Stroke",11,FALSE,NA,NA,NA
"Attention-deficit/hyperactivity disorder","578",3,"Mental disorders","Anxiety disorders | Autism spectrum disorders | Bipolar disorder | Conduct disorder | Depressive disorders | Eating disorders | Idiopathic developmental intellectual disability | Other mental disorders | Schizophrenia",9,FALSE,NA,NA,NA
"Autism spectrum disorders","575",3,"Mental disorders","Anxiety disorders | Attention-deficit/hyperactivity disorder | Bipolar disorder | Conduct disorder | Depressive disorders | Eating disorders | Idiopathic developmental intellectual disability | Other mental disorders | Schizophrenia",9,FALSE,NA,NA,NA
"Bacterial skin diseases","980",3,"Skin and subcutaneous diseases","Acne vulgaris | Alopecia areata | Decubitus ulcer | Dermatitis | Fungal skin diseases | Other skin and subcutaneous diseases | Pruritus | Psoriasis | Scabies | Urticaria | Viral skin diseases",11,FALSE,NA,NA,NA
"Bipolar disorder","570",3,"Mental disorders","Anxiety disorders | Attention-deficit/hyperactivity disorder | Autism spectrum disorders | Conduct disorder | Depressive disorders | Eating disorders | Idiopathic developmental intellectual disability | Other mental disorders | Schizophrenia",9,FALSE,NA,NA,NA
"Bladder cancer","474",3,"Neoplasms","Brain and central nervous system cancer | Breast cancer | Cervical cancer | Colon and rectum cancer | Esophageal cancer | Eye cancer | Gallbladder and biliary tract cancer | Hodgkin lymphoma | Kidney cancer | Larynx cancer | Leukemia | Lip and oral cavity cancer | Liver cancer | Malignant neoplasm of bone and articular cartilage | Malignant skin melanoma | Mesothelioma | Multiple myeloma | Nasopharynx cancer | Neuroblastoma and other peripheral nervous cell tumors | Non-Hodgkin lymphoma | Non-melanoma skin cancer | Other malignant neoplasms | Other neoplasms | Other pharynx cancer | Ovarian cancer | Pancreatic cancer | Prostate cancer | Soft tissue and other extraosseous sarcomas | Stomach cancer | Testicular cancer | Thyroid cancer | Tracheal, bronchus, and lung cancer | Uterine cancer",33,FALSE,NA,NA,NA
"Blindness and vision loss","981",3,"Sense organ diseases","Age-related and other hearing loss | Other sense organ diseases",2,FALSE,NA,NA,NA
"Brain and central nervous system cancer","477",3,"Neoplasms","Bladder cancer | Breast cancer | Cervical cancer | Colon and rectum cancer | Esophageal cancer | Eye cancer | Gallbladder and biliary tract cancer | Hodgkin lymphoma | Kidney cancer | Larynx cancer | Leukemia | Lip and oral cavity cancer | Liver cancer | Malignant neoplasm of bone and articular cartilage | Malignant skin melanoma | Mesothelioma | Multiple myeloma | Nasopharynx cancer | Neuroblastoma and other peripheral nervous cell tumors | Non-Hodgkin lymphoma | Non-melanoma skin cancer | Other malignant neoplasms | Other neoplasms | Other pharynx cancer | Ovarian cancer | Pancreatic cancer | Prostate cancer | Soft tissue and other extraosseous sarcomas | Stomach cancer | Testicular cancer | Thyroid cancer | Tracheal, bronchus, and lung cancer | Uterine cancer",33,FALSE,NA,NA,NA
"Breast cancer","429",3,"Neoplasms","Bladder cancer | Brain and central nervous system cancer | Cervical cancer | Colon and rectum cancer | Esophageal cancer | Eye cancer | Gallbladder and biliary tract cancer | Hodgkin lymphoma | Kidney cancer | Larynx cancer | Leukemia | Lip and oral cavity cancer | Liver cancer | Malignant neoplasm of bone and articular cartilage | Malignant skin melanoma | Mesothelioma | Multiple myeloma | Nasopharynx cancer | Neuroblastoma and other peripheral nervous cell tumors | Non-Hodgkin lymphoma | Non-melanoma skin cancer | Other malignant neoplasms | Other neoplasms | Other pharynx cancer | Ovarian cancer | Pancreatic cancer | Prostate cancer | Soft tissue and other extraosseous sarcomas | Stomach cancer | Testicular cancer | Thyroid cancer | Tracheal, bronchus, and lung cancer | Uterine cancer",33,FALSE,NA,NA,NA
"COVID-19","1048",3,"Respiratory infections and tuberculosis","Lower respiratory infections | Otitis media | Tuberculosis | Upper respiratory infections",4,FALSE,NA,NA,NA
"Cardiomyopathy and myocarditis","499",3,"Cardiovascular diseases","Aortic aneurysm | Atrial fibrillation and flutter | Endocarditis | Hypertensive heart disease | Ischemic heart disease | Lower extremity peripheral arterial disease | Non-rheumatic valvular heart disease | Other cardiovascular and circulatory diseases | Pulmonary Arterial Hypertension | Rheumatic heart disease | Stroke",11,FALSE,NA,NA,NA
"Cervical cancer","432",3,"Neoplasms","Bladder cancer | Brain and central nervous system cancer | Breast cancer | Colon and rectum cancer | Esophageal cancer | Eye cancer | Gallbladder and biliary tract cancer | Hodgkin lymphoma | Kidney cancer | Larynx cancer | Leukemia | Lip and oral cavity cancer | Liver cancer | Malignant neoplasm of bone and articular cartilage | Malignant skin melanoma | Mesothelioma | Multiple myeloma | Nasopharynx cancer | Neuroblastoma and other peripheral nervous cell tumors | Non-Hodgkin lymphoma | Non-melanoma skin cancer | Other malignant neoplasms | Other neoplasms | Other pharynx cancer | Ovarian cancer | Pancreatic cancer | Prostate cancer | Soft tissue and other extraosseous sarcomas | Stomach cancer | Testicular cancer | Thyroid cancer | Tracheal, bronchus, and lung cancer | Uterine cancer",33,FALSE,NA,NA,NA
"Chagas disease","346",3,"Neglected tropical diseases and malaria","African trypanosomiasis | Cystic echinococcosis | Cysticercosis | Dengue | Ebola | Food-borne trematodiases | Guinea worm disease | Intestinal nematode infections | Leishmaniasis | Leprosy | Lymphatic filariasis | Malaria | Onchocerciasis | Other neglected tropical diseases | Rabies | Schistosomiasis | Trachoma | Yellow fever | Zika virus",19,FALSE,NA,NA,NA
"Chronic kidney disease","589",3,"Diabetes and kidney diseases","Acute glomerulonephritis | Diabetes mellitus",2,FALSE,NA,NA,NA
"Chronic obstructive pulmonary disease","509",3,"Chronic respiratory diseases","Asthma | Interstitial lung disease and pulmonary sarcoidosis | Other chronic respiratory diseases | Pneumoconiosis",4,FALSE,NA,NA,NA
"Cirrhosis and other chronic liver diseases","521",3,"Digestive diseases","Appendicitis | Gallbladder and biliary diseases | Inflammatory bowel disease | Inguinal, femoral, and abdominal hernia | Other digestive diseases | Pancreatitis | Paralytic ileus and intestinal obstruction | Upper digestive system diseases | Vascular intestinal disorders",9,FALSE,NA,NA,NA
"Colon and rectum cancer","441",3,"Neoplasms","Bladder cancer | Brain and central nervous system cancer | Breast cancer | Cervical cancer | Esophageal cancer | Eye cancer | Gallbladder and biliary tract cancer | Hodgkin lymphoma | Kidney cancer | Larynx cancer | Leukemia | Lip and oral cavity cancer | Liver cancer | Malignant neoplasm of bone and articular cartilage | Malignant skin melanoma | Mesothelioma | Multiple myeloma | Nasopharynx cancer | Neuroblastoma and other peripheral nervous cell tumors | Non-Hodgkin lymphoma | Non-melanoma skin cancer | Other malignant neoplasms | Other neoplasms | Other pharynx cancer | Ovarian cancer | Pancreatic cancer | Prostate cancer | Soft tissue and other extraosseous sarcomas | Stomach cancer | Testicular cancer | Thyroid cancer | Tracheal, bronchus, and lung cancer | Uterine cancer",33,FALSE,NA,NA,NA
"Conduct disorder","579",3,"Mental disorders","Anxiety disorders | Attention-deficit/hyperactivity disorder | Autism spectrum disorders | Bipolar disorder | Depressive disorders | Eating disorders | Idiopathic developmental intellectual disability | Other mental disorders | Schizophrenia",9,FALSE,NA,NA,NA
"Congenital birth defects","641",3,"Other non-communicable diseases","Endocrine, metabolic, blood, and immune disorders | Gynecological diseases | Hemoglobinopathies and hemolytic anemias | Oral disorders | Sudden infant death syndrome | Urinary diseases and male infertility",6,FALSE,NA,NA,NA
"Cystic echinococcosis","353",3,"Neglected tropical diseases and malaria","African trypanosomiasis | Chagas disease | Cysticercosis | Dengue | Ebola | Food-borne trematodiases | Guinea worm disease | Intestinal nematode infections | Leishmaniasis | Leprosy | Lymphatic filariasis | Malaria | Onchocerciasis | Other neglected tropical diseases | Rabies | Schistosomiasis | Trachoma | Yellow fever | Zika virus",19,FALSE,NA,NA,NA
"Cysticercosis","352",3,"Neglected tropical diseases and malaria","African trypanosomiasis | Chagas disease | Cystic echinococcosis | Dengue | Ebola | Food-borne trematodiases | Guinea worm disease | Intestinal nematode infections | Leishmaniasis | Leprosy | Lymphatic filariasis | Malaria | Onchocerciasis | Other neglected tropical diseases | Rabies | Schistosomiasis | Trachoma | Yellow fever | Zika virus",19,FALSE,NA,NA,NA
"Decubitus ulcer","665",3,"Skin and subcutaneous diseases","Acne vulgaris | Alopecia areata | Bacterial skin diseases | Dermatitis | Fungal skin diseases | Other skin and subcutaneous diseases | Pruritus | Psoriasis | Scabies | Urticaria | Viral skin diseases",11,FALSE,NA,NA,NA
"Dengue","357",3,"Neglected tropical diseases and malaria","African trypanosomiasis | Chagas disease | Cystic echinococcosis | Cysticercosis | Ebola | Food-borne trematodiases | Guinea worm disease | Intestinal nematode infections | Leishmaniasis | Leprosy | Lymphatic filariasis | Malaria | Onchocerciasis | Other neglected tropical diseases | Rabies | Schistosomiasis | Trachoma | Yellow fever | Zika virus",19,FALSE,NA,NA,NA
"Depressive disorders","567",3,"Mental disorders","Anxiety disorders | Attention-deficit/hyperactivity disorder | Autism spectrum disorders | Bipolar disorder | Conduct disorder | Eating disorders | Idiopathic developmental intellectual disability | Other mental disorders | Schizophrenia",9,FALSE,NA,NA,NA
"Dermatitis","654",3,"Skin and subcutaneous diseases","Acne vulgaris | Alopecia areata | Bacterial skin diseases | Decubitus ulcer | Fungal skin diseases | Other skin and subcutaneous diseases | Pruritus | Psoriasis | Scabies | Urticaria | Viral skin diseases",11,FALSE,NA,NA,NA
"Diabetes mellitus","587",3,"Diabetes and kidney diseases","Acute glomerulonephritis | Chronic kidney disease",2,FALSE,NA,NA,NA
"Diarrheal diseases","302",3,"Enteric infections","Invasive Non-typhoidal Salmonella (iNTS) | Other intestinal infectious diseases | Typhoid and paratyphoid",3,FALSE,NA,NA,NA
"Dietary iron deficiency","390",3,"Nutritional deficiencies","Iodine deficiency | Other nutritional deficiencies | Protein-energy malnutrition | Vitamin A deficiency",4,FALSE,NA,NA,NA
"Diphtheria","338",3,"Other infectious diseases","Acute hepatitis | Encephalitis | Measles | Meningitis | Other unspecified infectious diseases | Pertussis | Tetanus | Varicella and herpes zoster",8,FALSE,NA,NA,NA
"Drug use disorders","561",3,"Substance use disorders","Alcohol use disorders",1,FALSE,NA,NA,NA
"Eating disorders","572",3,"Mental disorders","Anxiety disorders | Attention-deficit/hyperactivity disorder | Autism spectrum disorders | Bipolar disorder | Conduct disorder | Depressive disorders | Idiopathic developmental intellectual disability | Other mental disorders | Schizophrenia",9,FALSE,NA,NA,NA
"Ebola","843",3,"Neglected tropical diseases and malaria","African trypanosomiasis | Chagas disease | Cystic echinococcosis | Cysticercosis | Dengue | Food-borne trematodiases | Guinea worm disease | Intestinal nematode infections | Leishmaniasis | Leprosy | Lymphatic filariasis | Malaria | Onchocerciasis | Other neglected tropical diseases | Rabies | Schistosomiasis | Trachoma | Yellow fever | Zika virus",19,FALSE,NA,NA,NA
"Electrocution","940",3,"Unintentional injuries","",0,FALSE,NA,NA,NA
"Encephalitis","337",3,"Other infectious diseases","Acute hepatitis | Diphtheria | Measles | Meningitis | Other unspecified infectious diseases | Pertussis | Tetanus | Varicella and herpes zoster",8,FALSE,NA,NA,NA
"Endocarditis","503",3,"Cardiovascular diseases","Aortic aneurysm | Atrial fibrillation and flutter | Cardiomyopathy and myocarditis | Hypertensive heart disease | Ischemic heart disease | Lower extremity peripheral arterial disease | Non-rheumatic valvular heart disease | Other cardiovascular and circulatory diseases | Pulmonary Arterial Hypertension | Rheumatic heart disease | Stroke",11,FALSE,NA,NA,NA
"Endocrine, metabolic, blood, and immune disorders","619",3,"Other non-communicable diseases","Congenital birth defects | Gynecological diseases | Hemoglobinopathies and hemolytic anemias | Oral disorders | Sudden infant death syndrome | Urinary diseases and male infertility",6,FALSE,NA,NA,NA
"Esophageal cancer","411",3,"Neoplasms","Bladder cancer | Brain and central nervous system cancer | Breast cancer | Cervical cancer | Colon and rectum cancer | Eye cancer | Gallbladder and biliary tract cancer | Hodgkin lymphoma | Kidney cancer | Larynx cancer | Leukemia | Lip and oral cavity cancer | Liver cancer | Malignant neoplasm of bone and articular cartilage | Malignant skin melanoma | Mesothelioma | Multiple myeloma | Nasopharynx cancer | Neuroblastoma and other peripheral nervous cell tumors | Non-Hodgkin lymphoma | Non-melanoma skin cancer | Other malignant neoplasms | Other neoplasms | Other pharynx cancer | Ovarian cancer | Pancreatic cancer | Prostate cancer | Soft tissue and other extraosseous sarcomas | Stomach cancer | Testicular cancer | Thyroid cancer | Tracheal, bronchus, and lung cancer | Uterine cancer",33,FALSE,NA,NA,NA
"Eye cancer","1008",3,"Neoplasms","Bladder cancer | Brain and central nervous system cancer | Breast cancer | Cervical cancer | Colon and rectum cancer | Esophageal cancer | Gallbladder and biliary tract cancer | Hodgkin lymphoma | Kidney cancer | Larynx cancer | Leukemia | Lip and oral cavity cancer | Liver cancer | Malignant neoplasm of bone and articular cartilage | Malignant skin melanoma | Mesothelioma | Multiple myeloma | Nasopharynx cancer | Neuroblastoma and other peripheral nervous cell tumors | Non-Hodgkin lymphoma | Non-melanoma skin cancer | Other malignant neoplasms | Other neoplasms | Other pharynx cancer | Ovarian cancer | Pancreatic cancer | Prostate cancer | Soft tissue and other extraosseous sarcomas | Stomach cancer | Testicular cancer | Thyroid cancer | Tracheal, bronchus, and lung cancer | Uterine cancer",33,FALSE,NA,NA,NA
"Food-borne trematodiases","364",3,"Neglected tropical diseases and malaria","African trypanosomiasis | Chagas disease | Cystic echinococcosis | Cysticercosis | Dengue | Ebola | Guinea worm disease | Intestinal nematode infections | Leishmaniasis | Leprosy | Lymphatic filariasis | Malaria | Onchocerciasis | Other neglected tropical diseases | Rabies | Schistosomiasis | Trachoma | Yellow fever | Zika virus",19,FALSE,NA,NA,NA
"Fungal skin diseases","659",3,"Skin and subcutaneous diseases","Acne vulgaris | Alopecia areata | Bacterial skin diseases | Decubitus ulcer | Dermatitis | Other skin and subcutaneous diseases | Pruritus | Psoriasis | Scabies | Urticaria | Viral skin diseases",11,FALSE,NA,NA,NA
"Gallbladder and biliary diseases","534",3,"Digestive diseases","Appendicitis | Cirrhosis and other chronic liver diseases | Inflammatory bowel disease | Inguinal, femoral, and abdominal hernia | Other digestive diseases | Pancreatitis | Paralytic ileus and intestinal obstruction | Upper digestive system diseases | Vascular intestinal disorders",9,FALSE,NA,NA,NA
"Gallbladder and biliary tract cancer","453",3,"Neoplasms","Bladder cancer | Brain and central nervous system cancer | Breast cancer | Cervical cancer | Colon and rectum cancer | Esophageal cancer | Eye cancer | Hodgkin lymphoma | Kidney cancer | Larynx cancer | Leukemia | Lip and oral cavity cancer | Liver cancer | Malignant neoplasm of bone and articular cartilage | Malignant skin melanoma | Mesothelioma | Multiple myeloma | Nasopharynx cancer | Neuroblastoma and other peripheral nervous cell tumors | Non-Hodgkin lymphoma | Non-melanoma skin cancer | Other malignant neoplasms | Other neoplasms | Other pharynx cancer | Ovarian cancer | Pancreatic cancer | Prostate cancer | Soft tissue and other extraosseous sarcomas | Stomach cancer | Testicular cancer | Thyroid cancer | Tracheal, bronchus, and lung cancer | Uterine cancer",33,FALSE,NA,NA,NA
"Gout","632",3,"Musculoskeletal disorders","Low back pain | Neck pain | Osteoarthritis | Other musculoskeletal disorders | Rheumatoid arthritis",5,FALSE,NA,NA,NA
"Guinea worm disease","936",3,"Neglected tropical diseases and malaria","African trypanosomiasis | Chagas disease | Cystic echinococcosis | Cysticercosis | Dengue | Ebola | Food-borne trematodiases | Intestinal nematode infections | Leishmaniasis | Leprosy | Lymphatic filariasis | Malaria | Onchocerciasis | Other neglected tropical diseases | Rabies | Schistosomiasis | Trachoma | Yellow fever | Zika virus",19,FALSE,NA,NA,NA
"Gynecological diseases","603",3,"Other non-communicable diseases","Congenital birth defects | Endocrine, metabolic, blood, and immune disorders | Hemoglobinopathies and hemolytic anemias | Oral disorders | Sudden infant death syndrome | Urinary diseases and male infertility",6,FALSE,NA,NA,NA
"HIV/AIDS","298",3,"HIV/AIDS and sexually transmitted infections","Sexually transmitted infections excluding HIV",1,FALSE,NA,NA,NA
"Headache disorders","972",3,"Neurological disorders","Alzheimer's disease and other dementias | Idiopathic epilepsy | Motor neuron disease | Multiple sclerosis | Other neurological disorders | Parkinson's disease",6,FALSE,NA,NA,NA
"Hemoglobinopathies and hemolytic anemias","613",3,"Other non-communicable diseases","Congenital birth defects | Endocrine, metabolic, blood, and immune disorders | Gynecological diseases | Oral disorders | Sudden infant death syndrome | Urinary diseases and male infertility",6,FALSE,NA,NA,NA
"Hodgkin lymphoma","484",3,"Neoplasms","Bladder cancer | Brain and central nervous system cancer | Breast cancer | Cervical cancer | Colon and rectum cancer | Esophageal cancer | Eye cancer | Gallbladder and biliary tract cancer | Kidney cancer | Larynx cancer | Leukemia | Lip and oral cavity cancer | Liver cancer | Malignant neoplasm of bone and articular cartilage | Malignant skin melanoma | Mesothelioma | Multiple myeloma | Nasopharynx cancer | Neuroblastoma and other peripheral nervous cell tumors | Non-Hodgkin lymphoma | Non-melanoma skin cancer | Other malignant neoplasms | Other neoplasms | Other pharynx cancer | Ovarian cancer | Pancreatic cancer | Prostate cancer | Soft tissue and other extraosseous sarcomas | Stomach cancer | Testicular cancer | Thyroid cancer | Tracheal, bronchus, and lung cancer | Uterine cancer",33,FALSE,NA,NA,NA
"Hypertensive heart disease","498",3,"Cardiovascular diseases","Aortic aneurysm | Atrial fibrillation and flutter | Cardiomyopathy and myocarditis | Endocarditis | Ischemic heart disease | Lower extremity peripheral arterial disease | Non-rheumatic valvular heart disease | Other cardiovascular and circulatory diseases | Pulmonary Arterial Hypertension | Rheumatic heart disease | Stroke",11,FALSE,NA,NA,NA
"Idiopathic developmental intellectual disability","582",3,"Mental disorders","Anxiety disorders | Attention-deficit/hyperactivity disorder | Autism spectrum disorders | Bipolar disorder | Conduct disorder | Depressive disorders | Eating disorders | Other mental disorders | Schizophrenia",9,FALSE,NA,NA,NA
"Idiopathic epilepsy","545",3,"Neurological disorders","Alzheimer's disease and other dementias | Headache disorders | Motor neuron disease | Multiple sclerosis | Other neurological disorders | Parkinson's disease",6,FALSE,NA,NA,NA
"Inflammatory bowel disease","532",3,"Digestive diseases","Appendicitis | Cirrhosis and other chronic liver diseases | Gallbladder and biliary diseases | Inguinal, femoral, and abdominal hernia | Other digestive diseases | Pancreatitis | Paralytic ileus and intestinal obstruction | Upper digestive system diseases | Vascular intestinal disorders",9,FALSE,NA,NA,NA
"Inguinal, femoral, and abdominal hernia","531",3,"Digestive diseases","Appendicitis | Cirrhosis and other chronic liver diseases | Gallbladder and biliary diseases | Inflammatory bowel disease | Other digestive diseases | Pancreatitis | Paralytic ileus and intestinal obstruction | Upper digestive system diseases | Vascular intestinal disorders",9,FALSE,NA,NA,NA
"Interstitial lung disease and pulmonary sarcoidosis","516",3,"Chronic respiratory diseases","Asthma | Chronic obstructive pulmonary disease | Other chronic respiratory diseases | Pneumoconiosis",4,FALSE,NA,NA,NA
"Intestinal nematode infections","360",3,"Neglected tropical diseases and malaria","African trypanosomiasis | Chagas disease | Cystic echinococcosis | Cysticercosis | Dengue | Ebola | Food-borne trematodiases | Guinea worm disease | Leishmaniasis | Leprosy | Lymphatic filariasis | Malaria | Onchocerciasis | Other neglected tropical diseases | Rabies | Schistosomiasis | Trachoma | Yellow fever | Zika virus",19,FALSE,NA,NA,NA
"Invasive Non-typhoidal Salmonella (iNTS)","959",3,"Enteric infections","Diarrheal diseases | Other intestinal infectious diseases | Typhoid and paratyphoid",3,FALSE,NA,NA,NA
"Iodine deficiency","388",3,"Nutritional deficiencies","Dietary iron deficiency | Other nutritional deficiencies | Protein-energy malnutrition | Vitamin A deficiency",4,FALSE,NA,NA,NA
"Ischemic heart disease","493",3,"Cardiovascular diseases","Aortic aneurysm | Atrial fibrillation and flutter | Cardiomyopathy and myocarditis | Endocarditis | Hypertensive heart disease | Lower extremity peripheral arterial disease | Non-rheumatic valvular heart disease | Other cardiovascular and circulatory diseases | Pulmonary Arterial Hypertension | Rheumatic heart disease | Stroke",11,FALSE,NA,NA,NA
"Kidney cancer","471",3,"Neoplasms","Bladder cancer | Brain and central nervous system cancer | Breast cancer | Cervical cancer | Colon and rectum cancer | Esophageal cancer | Eye cancer | Gallbladder and biliary tract cancer | Hodgkin lymphoma | Larynx cancer | Leukemia | Lip and oral cavity cancer | Liver cancer | Malignant neoplasm of bone and articular cartilage | Malignant skin melanoma | Mesothelioma | Multiple myeloma | Nasopharynx cancer | Neuroblastoma and other peripheral nervous cell tumors | Non-Hodgkin lymphoma | Non-melanoma skin cancer | Other malignant neoplasms | Other neoplasms | Other pharynx cancer | Ovarian cancer | Pancreatic cancer | Prostate cancer | Soft tissue and other extraosseous sarcomas | Stomach cancer | Testicular cancer | Thyroid cancer | Tracheal, bronchus, and lung cancer | Uterine cancer",33,FALSE,NA,NA,NA
"Larynx cancer","423",3,"Neoplasms","Bladder cancer | Brain and central nervous system cancer | Breast cancer | Cervical cancer | Colon and rectum cancer | Esophageal cancer | Eye cancer | Gallbladder and biliary tract cancer | Hodgkin lymphoma | Kidney cancer | Leukemia | Lip and oral cavity cancer | Liver cancer | Malignant neoplasm of bone and articular cartilage | Malignant skin melanoma | Mesothelioma | Multiple myeloma | Nasopharynx cancer | Neuroblastoma and other peripheral nervous cell tumors | Non-Hodgkin lymphoma | Non-melanoma skin cancer | Other malignant neoplasms | Other neoplasms | Other pharynx cancer | Ovarian cancer | Pancreatic cancer | Prostate cancer | Soft tissue and other extraosseous sarcomas | Stomach cancer | Testicular cancer | Thyroid cancer | Tracheal, bronchus, and lung cancer | Uterine cancer",33,FALSE,NA,NA,NA
"Leishmaniasis","347",3,"Neglected tropical diseases and malaria","African trypanosomiasis | Chagas disease | Cystic echinococcosis | Cysticercosis | Dengue | Ebola | Food-borne trematodiases | Guinea worm disease | Intestinal nematode infections | Leprosy | Lymphatic filariasis | Malaria | Onchocerciasis | Other neglected tropical diseases | Rabies | Schistosomiasis | Trachoma | Yellow fever | Zika virus",19,FALSE,NA,NA,NA
"Leprosy","405",3,"Neglected tropical diseases and malaria","African trypanosomiasis | Chagas disease | Cystic echinococcosis | Cysticercosis | Dengue | Ebola | Food-borne trematodiases | Guinea worm disease | Intestinal nematode infections | Leishmaniasis | Lymphatic filariasis | Malaria | Onchocerciasis | Other neglected tropical diseases | Rabies | Schistosomiasis | Trachoma | Yellow fever | Zika virus",19,FALSE,NA,NA,NA
"Leukemia","487",3,"Neoplasms","Bladder cancer | Brain and central nervous system cancer | Breast cancer | Cervical cancer | Colon and rectum cancer | Esophageal cancer | Eye cancer | Gallbladder and biliary tract cancer | Hodgkin lymphoma | Kidney cancer | Larynx cancer | Lip and oral cavity cancer | Liver cancer | Malignant neoplasm of bone and articular cartilage | Malignant skin melanoma | Mesothelioma | Multiple myeloma | Nasopharynx cancer | Neuroblastoma and other peripheral nervous cell tumors | Non-Hodgkin lymphoma | Non-melanoma skin cancer | Other malignant neoplasms | Other neoplasms | Other pharynx cancer | Ovarian cancer | Pancreatic cancer | Prostate cancer | Soft tissue and other extraosseous sarcomas | Stomach cancer | Testicular cancer | Thyroid cancer | Tracheal, bronchus, and lung cancer | Uterine cancer",33,FALSE,NA,NA,NA
"Lip and oral cavity cancer","444",3,"Neoplasms","Bladder cancer | Brain and central nervous system cancer | Breast cancer | Cervical cancer | Colon and rectum cancer | Esophageal cancer | Eye cancer | Gallbladder and biliary tract cancer | Hodgkin lymphoma | Kidney cancer | Larynx cancer | Leukemia | Liver cancer | Malignant neoplasm of bone and articular cartilage | Malignant skin melanoma | Mesothelioma | Multiple myeloma | Nasopharynx cancer | Neuroblastoma and other peripheral nervous cell tumors | Non-Hodgkin lymphoma | Non-melanoma skin cancer | Other malignant neoplasms | Other neoplasms | Other pharynx cancer | Ovarian cancer | Pancreatic cancer | Prostate cancer | Soft tissue and other extraosseous sarcomas | Stomach cancer | Testicular cancer | Thyroid cancer | Tracheal, bronchus, and lung cancer | Uterine cancer",33,FALSE,NA,NA,NA
