cause_name,cause_id,level
G6PD deficiency,616,4
G6PD trait,839,4
Gallbladder and biliary diseases,534,3
Gallbladder and biliary tract cancer,453,3
Gastritis and duodenitis,528,4
Gastroesophageal reflux disease,536,4
Genital herpes,398,4
Genital prolapse,608,4
Glaucoma,670,4
Gonococcal infection,396,4
Gout,632,3
Guinea worm disease,936,3
HIV/AIDS - Drug-susceptible Tuberculosis,948,4
HIV/AIDS - Extensively drug-resistant Tuberculosis,950,4
HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,949,4
HIV/AIDS resulting in other diseases,300,4
Hemolytic disease and other neonatal jaundice,384,4
Hepatoblastoma,1005,4
Hodgkin lymphoma,484,3
Hookworm disease,363,4
Hypertensive heart disease,498,3
Idiopathic developmental intellectual disability,582,3
Idiopathic epilepsy,545,3
Indirect maternal deaths,375,4
"Inguinal, femoral, and abdominal hernia",531,3
Interstitial lung disease and pulmonary sarcoidosis,516,3
Intracerebral hemorrhage,496,4
Invasive Non-typhoidal Salmonella (iNTS),959,3
Iodine deficiency,388,3
Ischemic heart disease,493,3
Ischemic stroke,495,4
Kidney cancer,471,3
Klinefelter syndrome,647,4
Larynx cancer,423,3
Late maternal deaths,376,4
Latent tuberculosis infection,954,4
Leprosy,405,3
Lip and oral cavity cancer,444,3
Liver cancer due to NASH,996,4
Liver cancer due to alcohol use,420,4
Liver cancer due to hepatitis B,418,4
Liver cancer due to hepatitis C,419,4
Liver cancer due to other causes,421,4
Low back pain,630,3
Lower extremity peripheral arterial disease,502,3
Lower respiratory infections,322,3
Lymphatic filariasis,354,3
Major depressive disorder,568,4
Malaria,345,3
Male infertility,598,4
Malignant neoplasm of bone and articular cartilage,1012,3
Malignant skin melanoma,459,3
Maternal abortion and miscarriage,995,4
Maternal deaths aggravated by HIV/AIDS,741,4
Maternal hemorrhage,367,4
Maternal hypertensive disorders,369,4
Maternal obstructed labor and uterine rupture,370,4
Maternal sepsis and other maternal infections,368,4
Measles,341,3
Meningitis,332,3
Mesothelioma,483,3
Migraine,547,4
Motor neuron disease,554,3
Multidrug-resistant tuberculosis without extensive drug resistance,946,4
Multiple myeloma,486,3
Multiple sclerosis,546,3
"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms",964,4
Myocarditis,942,4
Nasopharynx cancer,447,3
Near vision loss,1000,4
Neck pain,631,3
Neonatal encephalopathy due to birth asphyxia and trauma,382,4
Neonatal preterm birth,381,4
Neonatal sepsis and other neonatal infections,383,4
Neural tube defects,642,4
Neuroblastoma and other peripheral nervous cell tumors,1013,3
Non-melanoma skin cancer (basal-cell carcinoma),850,4
Non-melanoma skin cancer (squamous-cell carcinoma),849,4
Non-rheumatic calcific aortic valve disease,968,4
Non-rheumatic degenerative mitral valve disease,969,4
Nonalcoholic fatty liver disease including cirrhosis,971,4
Onchocerciasis,355,3
Opioid use disorders,562,4
Orofacial clefts,644,4
Osteoarthritis hand,1016,4
Osteoarthritis hip,1014,4
Osteoarthritis knee,1015,4
Osteoarthritis other,1017,4
Other benign and in situ neoplasms,1164,4
Other cardiomyopathy,944,4
Other cardiovascular and circulatory diseases,507,3
Other chromosomal abnormalities,648,4
Other chronic respiratory diseases,520,3
Other congenital birth defects,652,4
Other digestive diseases,1161,3
Other direct maternal disorders,1160,4
Other drug use disorders,566,4
"Other endocrine, metabolic, blood, and immune disorders",625,4
Other eye cancers,1010,4
Other gynecological diseases,612,4
Other hemoglobinopathies and hemolytic anemias,618,4
Other intestinal infectious diseases,321,3
Other leukemia,943,4
Other malignant neoplasms,489,3
Other mental disorders,585,3
Other musculoskeletal disorders,639,3
Other neglected tropical diseases,365,3
Other neonatal disorders,385,4
Other neurological disorders,557,3
Other non-Hodgkin lymphoma,1007,4
Other non-rheumatic valve diseases,970,4
Other nutritional deficiencies,391,3
Other oral disorders,685,4
Other pharynx cancer,450,3
Other pneumoconiosis,514,4
Other sense organ diseases,679,3
Other sexually transmitted infections,399,4
Other skin and subcutaneous diseases,668,3
Other unspecified infectious diseases,408,3
Other urinary diseases,602,4
Other vision loss,1162,4
Otitis media,329,3
Ovarian cancer,465,3
Pancreatic cancer,456,3
Pancreatitis,535,3
Paralytic ileus and intestinal obstruction,530,3
Paratyphoid fever,320,4
Parkinson's disease,544,3
Peptic ulcer disease,527,4
Periodontal diseases,683,4
Pertussis,339,3
Polycystic ovarian syndrome,605,4
Premenstrual syndrome,609,4
Prostate cancer,438,3
Protein-energy malnutrition,387,3
Pruritus,663,3
Psoriasis,655,3
Pulmonary Arterial Hypertension,1004,3
Pyoderma,657,4
Rabies,359,3
Refraction disorders,999,4
Retinoblastoma,1009,4
Rheumatic heart disease,492,3
Rheumatoid arthritis,627,3
Scabies,658,3
Schistosomiasis,351,3
Schizophrenia,559,3
Seborrhoeic dermatitis,979,4
Sickle cell disorders,615,4
Sickle cell trait,838,4
Silicosis,511,4
Soft tissue and other extraosseous sarcomas,1011,3
Stomach cancer,414,3
Subarachnoid hemorrhage,497,4
Sudden infant death syndrome,686,3
Syphilis,394,4
Tension-type headache,548,4
Testicular cancer,468,3
Tetanus,340,3
Thalassemias,614,4
Thalassemias trait,837,4
Thyroid cancer,480,3
Thyroid diseases,1032,4
"Tracheal, bronchus, and lung cancer",426,3
Trachoma,356,3
Trichomoniasis,397,4
Trichuriasis,362,4
Turner syndrome,646,4
Typhoid fever,319,4
Ulcerative colitis,1024,4
Upper respiratory infections,328,3
Urinary tract infections and interstitial nephritis,595,4
Urogenital congenital anomalies,650,4
Urolithiasis,596,4
Urticaria,664,3
Uterine cancer,435,3
Uterine fibroids,604,4
Varicella and herpes zoster,342,3
Vascular intestinal disorders,533,3
Viral skin diseases,660,3
Visceral leishmaniasis,348,4
Vitamin A deficiency,389,3
Yellow fever,358,3
Zika virus,935,3
