GBD.term,total_attention_score,weighted_nhits,weighted_attention_score_impact_factor,weighted_n,nhit
Other digestive diseases,1349370,7.67392185435166,33.9086601551536,62893.4833066965,130
Alzheimer's disease and other dementias,8388344,3761.25881332422,2856.73141264035,4144808.30279946,7585
Parkinson's disease,903072,637.493201571337,1054.17843969504,633060.446570369,775
Idiopathic epilepsy,1270021,60.8762397328871,172.53775403699,69282.8749278268,162
Multiple sclerosis,1722038,838.297788323848,906.439277664589,341848.42791078,1031
Motor neuron disease,221,0,0.0427860696517413,0.219900497512438,0
Migraine,3424292,440.123277165445,441.253635926473,853283.521239967,860
Tension-type headache,7673,0.00360227259762929,0.320584569451376,6.56102101584092,4
Other neurological disorders,1980,3.66666666666667,31.95,330,22
Schizophrenia,19637805,4102.68478892364,2017.51601179464,4624653.38471485,5598
Major depressive disorder,48330325,2597.03348644082,2763.68184356623,14255728.8017353,4325
Dysthymia,48637,0.00117508813160987,0.265667583499908,40.5201181155703,1
Bipolar disorder,9396436,631.811692887484,994.530953584713,2127347.78061857,1751
Anxiety disorders,5766693,233.347152928509,421.696169940814,1674700.22305573,507
Anorexia nervosa,12722206,76.9231601731602,270.155194805195,1906812.13398268,365
Bulimia nervosa,151,11.5,5,75.5,23
Autism spectrum disorders,7557231,510.40096395947,586.591726236557,1237139.55103483,1353
Attention-deficit/hyperactivity disorder,17082470,1080.57867967632,960.818025813992,3599575.69340362,2387
Conduct disorder,16844,48.0011750881316,46.2234478568902,2834.86009320845,74
Idiopathic developmental intellectual disability,1713,0.00117508813160987,0.340383313336942,2.7383936895092,1
Other mental disorders,314463,254.546629633586,15.8682646026839,3114.53911227297,511
Alcohol use disorders,969113,142.901766761281,271.788638696051,109626.277391396,316
Opioid use disorders,381903,72.8,428.32,272048.6,108
Cocaine use disorders,35640,3.33333333333333,6,11880,10
Amphetamine use disorders,5490,1,6.83333333333333,1990,3
Cannabis use disorders,412580,82.9428571428572,305.458571428571,310832.928571429,152
Other drug use disorders,14376,5,1.63333333333333,2396,30
Diabetes mellitus type 1,2171026,1023.09701115239,842.896291043312,390784.566205707,1435
Diabetes mellitus type 2,23889086,5667.54094483624,2964.26222479363,7873813.92070915,8794
Chronic kidney disease due to diabetes mellitus type 1,241737,146.844013953188,339.559019996194,109287.68528195,220
Chronic kidney disease due to diabetes mellitus type 2,349989,146.881230781667,340.011466093786,109375.502366807,266
Chronic kidney disease due to hypertension,32358,4.00117508813161,5.86704819866568,401.925752672816,5
Chronic kidney disease due to glomerulonephritis,117797,272.593156979906,389.399637391922,73110.4562418834,338
Chronic kidney disease due to other and unspecified causes,50393,0.0170267618135917,0.844797536504217,42.4686065997961,20
Acute glomerulonephritis,117957,257.594332068038,345.817004004548,72664.0531739487,324
Atopic dermatitis,3513224,805.261018163594,470.11231293958,1491494.47313461,1281
Contact dermatitis,41548,2.00582625092231,7.53091860251956,123.429342890747,4
Seborrhoeic dermatitis,123195,12.0367737936332,3.03129494962961,746.952376127363,57
Psoriasis,2804102,1363.04339092889,461.207252757,536372.145579897,1970
Cellulitis,1365831,0.0304263853163128,6.93640424122025,9408.49346176791,27
Pyoderma,2071,0.00117508813160987,0.07458054297438,2.3245315809689,1
Scabies,232535,0.0861351293123146,3.1874145978605,1610.49269383283,18
Fungal skin diseases,891796,6.46501507416805,4.09161210741407,5534.60973226338,83
Viral skin diseases,232535,0.0861351293123146,3.1874145978605,1610.49269383283,18
Acne vulgaris,121202,129.372093005166,13.3461215422261,67420.1909484087,147
Alopecia areata,198504,390.689366652213,123.504812631897,134357.388142468,415
Pruritus,107251,0.438950613713755,6.01447494510589,539.462511459669,10
Urticaria,165744,28.0652588383345,65.9676216993922,56726.4403364692,52
Decubitus ulcer,146328,0.0132340022589073,1.46777848399451,150.367137275028,15
Other skin and subcutaneous diseases,2180960,8.39660366191082,45.5290977968621,19461.5601814574,271
Glaucoma,2827680,1278.66409451587,818.896995482379,389071.824670956,2429
Cataract,5156012,157.555566562034,51.4909562998093,968333.895063536,352
Age-related macular degeneration,1685650,387.007199359458,539.031943711867,399472.317091727,788
Refraction disorders,6601325,2405.66666666667,522.36171377642,5330780.89325185,2676
Near vision loss,793735,0.00441133408630243,0.959515582144438,685.325700130889,5
Other vision loss,194159,1.79661462459947,3.15005378812641,2157.05356353708,84
Age-related and other hearing loss,4228070,147.315039512501,204.255972218332,1538197.74518664,397
Other sense organ diseases,3603693,152.079380237584,204.039711703028,1543654.81456262,383
Rheumatoid arthritis,3629955,1726.09541366904,1380.03009477216,842142.161748494,3261
Osteoarthritis hip,13887036,565.114109238944,1689.36968314869,5844671.02263987,1649
Osteoarthritis knee,14249677,565.921596104093,1770.8758771711,5926212.74607741,1581
Osteoarthritis hand,12950288,461.131797505144,1671.35232888968,5710281.47016079,899
Osteoarthritis other,1560930,151.9823117338,417.20735425901,238128.452479076,837
Low back pain,3049484,89.057109921397,134.722650709593,949881.202072606,125
Neck pain,942733,2.33855372890831,7.48151172646156,178686.637315048,11
Gout,1931976,525.86539582401,1085.0143553069,273148.64355166,1420
Other musculoskeletal disorders,0,0,0,0,0
Neural tube defects,1178,3,3.89262400992166,66.3517958978339,3
